"box_color","country_","discount_value","beginDate","endDate"
"gold","australia","0.16","2020-01-29 18:02:20","2020-02-29 18:02:20"
"gold","belgium","0.12","2020-01-26 18:02:20","2020-02-26 18:02:20"
"gold","canada","0.31","2020-01-24 18:02:20","2020-02-24 18:02:20"
"gold","switzerland","0.45","2020-01-25 18:02:20","2020-02-25 18:02:20"
"regular","australia","0.16","2020-01-27 18:02:20","2020-02-27 18:02:20"
"regular","belgium","0.12","2020-01-30 18:02:20","2020-03-01 18:02:20"
"regular","canada","0.31","2020-01-28 18:02:20","2020-02-28 18:02:20"
"regular","switzerland","0.45","2020-01-29 18:02:20","2020-02-29 18:02:20"
"silver","australia","0.16","2020-01-31 18:02:20","2020-03-02 18:02:20"
"silver","belgium","0.12","2020-02-03 18:02:20","2020-03-05 18:02:20"
"silver","canada","0.31","2020-02-01 18:02:20","2020-03-03 18:02:20"
"silver","switzerland","0.45","2020-02-02 18:02:20","2020-03-04 18:02:20"
