"box_color","country_","iso_currency","price"
"gold","australia","aud","73.52"
"gold","australia","cad","77.26"
"gold","australia","chf","67.55"
"gold","australia","eur","62.68"
"gold","australia","gbp","75.94"
"gold","australia","jpy","48.19"
"gold","australia","usd","73.97"
"gold","belgium","aud","71.61"
"gold","belgium","cad","76.45"
"gold","belgium","chf","66.85"
"gold","belgium","eur","67.26"
"gold","belgium","gbp","70.49"
"gold","belgium","jpy","61.81"
"gold","belgium","usd","56.8"
"gold","canada","aud","68.81"
"gold","canada","cad","72.04"
"gold","canada","chf","72.28"
"gold","canada","eur","72.4"
"gold","canada","gbp","56.47"
"gold","canada","jpy","75.68"
"gold","canada","usd","76.35"
"gold","switzerland","aud","71.03"
"gold","switzerland","cad","74.74"
"gold","switzerland","chf","72.91"
"gold","switzerland","eur","64.16"
"gold","switzerland","gbp","69.54"
"gold","switzerland","jpy","60.51"
"gold","switzerland","usd","71.53"
"regular","australia","aud","49.96"
"regular","australia","cad","51.2"
"regular","australia","chf","47.59"
"regular","australia","eur","45.39"
"regular","australia","gbp","47.56"
"regular","australia","jpy","43.96"
"regular","australia","usd","45.77"
"regular","belgium","aud","51.66"
"regular","belgium","cad","42.7"
"regular","belgium","chf","49.89"
"regular","belgium","eur","49.58"
"regular","belgium","gbp","53.7"
"regular","belgium","jpy","51.63"
"regular","belgium","usd","49.72"
"regular","canada","aud","45.35"
"regular","canada","cad","54.03"
"regular","canada","chf","48.13"
"regular","canada","eur","54.16"
"regular","canada","gbp","50.17"
"regular","canada","jpy","51.28"
"regular","canada","usd","54.85"
"regular","switzerland","aud","53.29"
"regular","switzerland","cad","55.98"
"regular","switzerland","chf","43.78"
"regular","switzerland","eur","53.49"
"regular","switzerland","gbp","44.35"
"regular","switzerland","jpy","45.02"
"regular","switzerland","usd","53.96"
"silver","australia","aud","67.24"
"silver","australia","cad","63.73"
"silver","australia","chf","57.3"
"silver","australia","eur","59.59"
"silver","australia","gbp","64.07"
"silver","australia","jpy","44.16"
"silver","australia","usd","54.91"
"silver","belgium","aud","69.17"
"silver","belgium","cad","47.53"
"silver","belgium","chf","57.2"
"silver","belgium","eur","60.15"
"silver","belgium","gbp","59.15"
"silver","belgium","jpy","56.56"
"silver","belgium","usd","53.74"
"silver","canada","aud","63.85"
"silver","canada","cad","70.12"
"silver","canada","chf","53.93"
"silver","canada","eur","55.58"
"silver","canada","gbp","55.87"
"silver","canada","jpy","67.59"
"silver","canada","usd","70.28"
"silver","switzerland","aud","66.13"
"silver","switzerland","cad","69.76"
"silver","switzerland","chf","61.7"
"silver","switzerland","eur","62.27"
"silver","switzerland","gbp","64.88"
"silver","switzerland","jpy","50.67"
"silver","switzerland","usd","69.37"
