"box_color","country_","iso_currency","shipPrice","minTime","maxTime"
"gold","australia","aud","8.13","7","10"
"gold","belgium","aud","8.38","2","5"
"gold","canada","aud","6.17","6","9"
"gold","switzerland","aud","6.85","3","6"
"gold","australia","cad","8.58","7","10"
"gold","belgium","cad","7.77","2","5"
"gold","canada","cad","9.49","6","9"
"gold","switzerland","cad","6.36","3","6"
"gold","australia","chf","5.74","7","10"
"gold","belgium","chf","5.95","2","5"
"gold","canada","chf","7.37","6","9"
"gold","switzerland","chf","4.44","3","6"
"gold","australia","eur","5.16","7","10"
"gold","belgium","eur","5.11","2","5"
"gold","canada","eur","5","6","9"
"gold","switzerland","eur","6.6","3","6"
"gold","australia","gbp","7.18","7","10"
"gold","belgium","gbp","5.27","2","5"
"gold","canada","gbp","4.73","6","9"
"gold","switzerland","gbp","6.38","3","6"
"gold","australia","jpy","7.25","7","10"
"gold","belgium","jpy","8.58","2","5"
"gold","canada","jpy","4.02","6","9"
"gold","switzerland","jpy","5.46","3","6"
"gold","australia","usd","8.77","7","10"
"gold","belgium","usd","5.16","2","5"
"gold","canada","usd","9.07","6","9"
"gold","switzerland","usd","8.03","3","6"
"regular","australia","aud","4.42","7","10"
"regular","belgium","aud","9.75","2","5"
"regular","canada","aud","4.19","6","9"
"regular","switzerland","aud","4.66","3","6"
"regular","australia","cad","9.27","7","10"
"regular","belgium","cad","9.37","2","5"
"regular","canada","cad","7.57","6","9"
"regular","switzerland","cad","8.29","3","6"
"regular","australia","chf","5.89","7","10"
"regular","belgium","chf","9.94","2","5"
"regular","canada","chf","9.37","6","9"
"regular","switzerland","chf","8.26","3","6"
"regular","australia","eur","7.36","7","10"
"regular","belgium","eur","6.24","2","5"
"regular","canada","eur","7.41","6","9"
"regular","switzerland","eur","6.62","3","6"
"regular","australia","gbp","8.04","7","10"
"regular","belgium","gbp","5.03","2","5"
"regular","canada","gbp","8.5","6","9"
"regular","switzerland","gbp","9.5","3","6"
"regular","australia","jpy","4.75","7","10"
"regular","belgium","jpy","9.92","2","5"
"regular","canada","jpy","7.42","6","9"
"regular","switzerland","jpy","4.15","3","6"
"regular","australia","usd","8.25","7","10"
"regular","belgium","usd","5.74","2","5"
"regular","canada","usd","8.69","6","9"
"regular","switzerland","usd","4.19","3","6"
"silver","australia","aud","4.79","7","10"
"silver","belgium","aud","4.12","2","5"
"silver","canada","aud","4.91","6","9"
"silver","switzerland","aud","4.66","3","6"
"silver","australia","cad","9.5","7","10"
"silver","belgium","cad","7.15","2","5"
"silver","canada","cad","5.46","6","9"
"silver","switzerland","cad","7.08","3","6"
"silver","australia","chf","8.15","7","10"
"silver","belgium","chf","5.95","2","5"
"silver","canada","chf","5.44","6","9"
"silver","switzerland","chf","5.95","3","6"
"silver","australia","eur","4.07","7","10"
"silver","belgium","eur","9.97","2","5"
"silver","canada","eur","7.96","6","9"
"silver","switzerland","eur","9.77","3","6"
"silver","australia","gbp","7.2","7","10"
"silver","belgium","gbp","5.14","2","5"
"silver","canada","gbp","4.36","6","9"
"silver","switzerland","gbp","5.95","3","6"
"silver","australia","jpy","4.02","7","10"
"silver","belgium","jpy","9.19","2","5"
"silver","canada","jpy","7.33","6","9"
"silver","switzerland","jpy","6.03","3","6"
"silver","australia","usd","7.68","7","10"
"silver","belgium","usd","4.01","2","5"
"silver","canada","usd","6.28","6","9"
"silver","switzerland","usd","5.41","3","6"
