"brandName","body_part","size_name","unit_name","minMax","value"
"asos","arm","l","centimeter","min","114.21"
"asos","arm","l","eu","min","45"
"asos","arm","l","uk","min","10"
"asos","arm","l","us","min","11"
"asos","arm","l","centimeter","max","114.22"
"asos","arm","l","eu","max","46"
"asos","arm","l","uk","max","11"
"asos","arm","l","us","max","12"
"asos","arm","m","centimeter","min","112.21"
"asos","arm","m","eu","min","43"
"asos","arm","m","uk","min","8"
"asos","arm","m","us","min","9"
"asos","arm","m","centimeter","max","112.22"
"asos","arm","m","eu","max","44"
"asos","arm","m","uk","max","9"
"asos","arm","m","us","max","10"
"asos","arm","s","centimeter","min","110.21"
"asos","arm","s","eu","min","41"
"asos","arm","s","uk","min","6"
"asos","arm","s","us","min","7"
"asos","arm","s","centimeter","max","110.22"
"asos","arm","s","eu","max","42"
"asos","arm","s","uk","max","7"
"asos","arm","s","us","max","8"
"asos","bust","l","centimeter","min","98.2"
"asos","bust","l","eu","min","37"
"asos","bust","l","uk","min","10"
"asos","bust","l","us","min","8"
"asos","bust","l","centimeter","max","99.59"
"asos","bust","l","eu","max","38"
